1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.55360840816601E-02	 6:-3.26243517625975E-04	 7:75.626962277991	 8:66.4485769634677	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:1	 13:1	 14:1	 15:1	 16:3	 17:1
1	 1:-2.85625457935488E-02	 2:-8.90171243757119E-04	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-4.41413409237184E-03	 6:1.2930695537726E-04	 7:-5.89421388057226	 8:-11.3312073584959	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:1	 13:1	 14:9	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.55360840816601E-02	 6:-3.26243517625975E-04	 7:75.626962277991	 8:66.4485769634677	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:1	 13:1	 14:4	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-9.46956590568469E-03	 6:-2.34775805232203E-04	 7:-9.43861269604793	 8:-14.9813618276111	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:1	 13:1	 14:1	 15:4	 16:3	 17:2
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.50305409003288E-02	 6:-3.17505433847561E-04	 7:-9.43861269604793	 8:24.105008724357	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:2	 14:1	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-5.9307636363657E-03	 6:4.87809110300947E-04	 7:-9.43861269604793	 8:-14.0042026908426	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:4	 14:4	 15:4	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.19972818123411E-02	 6:-2.890611507056E-04	 7:-9.43861269604793	 8:-14.7099289693063	 9:-1.70808662409829E-02	 10:23.7204411488646	 11:3	 12:2	 13:2	 14:5	 15:1	 16:3	 17:2
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.50305409003288E-02	 6:-3.26243517625975E-04	 7:75.626962277991	 8:66.4485769634677	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:3	 13:3	 14:1	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.45249977189975E-02	 6:-2.97571680228054E-04	 7:-9.43861269604793	 8:-4.12403690952864	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:3	 13:2	 14:1	 15:5	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.50305409003288E-02	 6:-3.22147540854843E-04	 7:-9.43861269604793	 8:24.105008724357	 9:-1.70808662409829E-02	 10:18.6658632775911	 11:3	 12:2	 13:4	 14:1	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.55360840816601E-02	 6:-3.26243517625975E-04	 7:75.626962277991	 8:66.4485769634677	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:2	 14:4	 15:1	 16:3	 17:2
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-.013513911356335	 6:-2.83645359206206E-04	 7:-9.43861269604793	 8:-1.30113221910937	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:1	 13:1	 14:9	 15:3	 16:3	 17:1
1	 1:.152691283148529	 2:-5.18981373832396E-04	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:1.35754539609724E-04	 6:-1.6193246457012E-05	 7:-8.22339013565768	 8:-14.2058385284404	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:2	 14:1	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.40194545376663E-02	 6:-3.05490568652241E-04	 7:11.8277810474618	 8:24.105008724357	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:1	 13:1	 14:1	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.40194545376663E-02	 6:-3.09040415187222E-04	 7:-9.43861269604793	 8:2.9332246048017	 9:-1.70808662409829E-02	 10:3.50212966377047	 11:3	 12:2	 13:6	 14:1	 15:3	 16:3	 17:1
1	 1:-.119189460264588	 2:-2.3941301994866E-03	 3:.307712317245358	 4:-1.7401193706446E-03	 5:6.70781589691643E-03	 6:1.05950298007929E-04	 7:9.05390365813374	 8:3.28097369957949	 9:.140059019270801	 10:8.55670753504401	 11:3	 12:3	 13:2	 14:1	 15:1	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.50305409003288E-02	 6:-3.16686238493334E-04	 7:-9.43861269604793	 8:24.105008724357	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:1	 13:1	 14:6	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.45249977189975E-02	 6:-3.04944438416091E-04	 7:-9.43861269604793	 8:9.99048611913204	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:1	 13:2	 14:6	 15:6	 16:3	 17:2
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.19972818123411E-02	 6:-2.6903637538917E-04	 7:-9.43861269604793	 8:-7.65266745497597	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:2	 14:1	 15:1	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.09861954496785E-02	 6:-2.76090557597017E-04	 7:7.57450229875986	 8:15.6362950765349	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:1	 13:1	 14:3	 15:1	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-8.96402272435341E-03	 6:-2.2234224019827E-04	 7:-3.36250031942454	 8:-6.14039697924958	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:2	 14:1	 15:1	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:1.02466181662354E-02	 6:2.43436634454774E-04	 7:-2.89510709240181	 8:-9.62055768900496	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:2	 14:7	 15:1	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.19972818123411E-02	 6:-2.20294251812704E-04	 7:1.19458417570694	 8:5.57969761974612	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:3	 13:2	 14:1	 15:4	 16:3	 17:2
1	 1:-2.85625457935488E-02	 2:-2.01014067887482E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-.013513911356335	 6:-2.44870112439494E-04	 7:-9.43861269604793	 8:-6.14039697924958	 9:-1.70808662409829E-02	 10:18.6658632775911	 11:3	 12:2	 13:2	 14:8	 15:4	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.25028249936724E-02	 6:-3.09040415187222E-04	 7:2.71361248252673	 8:12.006846188853	 9:-1.70808662409829E-02	 10:13.6112854063176	 11:3	 12:2	 13:2	 14:1	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.14917386310098E-02	 6:-1.94626130713613E-04	 7:-9.43861269604793	 8:-8.82887777793697	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:5	 14:1	 15:6	 16:3	 17:1
1	 1:-.119189460264588	 2:-2.29813281933366E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:7.21335907824771E-03	 6:7.89061995593674E-04	 7:-9.43861269604793	 8:-17.4785466646289	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:2	 14:8	 15:4	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.45249977189975E-02	 6:-3.20236085028315E-04	 7:-9.43861269604793	 8:9.99048611913204	 9:-1.70808662409829E-02	 10:13.6112854063176	 11:3	 12:1	 13:1	 14:3	 15:2	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-8.45847954302212E-03	 6:-2.41547820160474E-04	 7:-9.43861269604793	 8:-15.4156548243344	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:1	 13:1	 14:4	 15:4	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.50305409003288E-02	 6:-3.1695930361141E-04	 7:-9.43861269604793	 8:2.9332246048017	 9:-1.70808662409829E-02	 10:8.55670753504401	 11:3	 12:3	 13:2	 14:2	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.40194545376663E-02	 6:-3.02213787235336E-04	 7:-9.43861269604793	 8:2.9332246048017	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:4	 13:1	 14:1	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-4.91967727370313E-03	 6:-1.56328747903532E-04	 7:-8.14974036084515	 8:-15.67228267744	 9:-1.70808662409829E-02	 10:3.50212966377047	 11:3	 12:2	 13:5	 14:1	 15:4	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-8.96402272435341E-03	 6:-2.65513835365997E-04	 7:-2.14727775903428	 8:5.95776513281879	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:1	 13:1	 14:1	 15:2	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.45249977189975E-02	 6:-3.0439830817994E-04	 7:18.916579103741	 8:38.219531329582	 9:-1.70808662409829E-02	 10:3.50212966377047	 11:3	 12:3	 13:2	 14:1	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.04806522683473E-02	 6:-1.07563868909662E-04	 7:-9.43861269604793	 8:-16.6987932429912	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:3	 13:2	 14:1	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.55360840816601E-02	 6:-3.26243517625975E-04	 7:75.626962277991	 8:66.4485769634677	 9:-1.70808662409829E-02	 10:13.6112854063176	 11:3	 12:2	 13:2	 14:3	 15:2	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.55360840816601E-02	 6:-3.26243517625975E-04	 7:75.626962277991	 8:66.4485769634677	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:1	 13:1	 14:3	 15:4	 16:3	 17:2
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-9.97510908701598E-03	 6:-2.53835750473868E-04	 7:-4.71274746697108	 8:-7.1821834104787	 9:-1.70808662409829E-02	 10:3.50212966377047	 11:3	 12:3	 13:2	 14:1	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.50305409003288E-02	 6:-3.18324629201787E-04	 7:-9.43861269604793	 8:24.105008724357	 9:-1.70808662409829E-02	 10:23.7204411488646	 11:3	 12:2	 13:4	 14:4	 15:2	 16:3	 17:2
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.40194545376663E-02	 6:-2.82553098733904E-04	 7:-9.43861269604793	 8:13.5191166645794	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:4	 13:2	 14:2	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.40194545376663E-02	 6:-2.89197683264638E-04	 7:11.8277810474618	 8:-7.65266745497597	 9:-1.70808662409829E-02	 10:8.55670753504401	 11:3	 12:3	 13:3	 14:1	 15:4	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.55360840816601E-02	 6:-3.26243517625975E-04	 7:75.626962277991	 8:66.4485769634677	 9:-1.70808662409829E-02	 10:3.50212966377047	 11:3	 12:2	 13:4	 14:1	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.55360840816601E-02	 6:-3.26243517625975E-04	 7:75.626962277991	 8:66.4485769634677	 9:-1.70808662409829E-02	 10:13.6112854063176	 11:3	 12:3	 13:2	 14:3	 15:3	 16:3	 17:1
1	 1:.152691283148529	 2:-7.94173863604173E-04	 3:.927560850431971	 4:4.31731605682884E-03	 5:2.15792726493486E-03	 6:-5.35220064816772E-05	 7:-9.43861269604793	 8:-11.9986135545746	 9:3.93223283790965E-02	 10:3.50212966377047	 11:3	 12:2	 13:2	 14:4	 15:1	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.40194545376663E-02	 6:-2.97844745346129E-04	 7:-9.43861269604793	 8:2.9332246048017	 9:-1.70808662409829E-02	 10:8.55670753504401	 11:3	 12:2	 13:6	 14:6	 15:3	 16:3	 17:1
1	 1:-2.85625457935488E-02	 2:-2.07413893231012E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-7.95293636169084E-03	 6:-2.22018246278459E-04	 7:-4.4347552945953	 8:1.48025883700828	 9:-1.70808662409829E-02	 10:13.6112854063176	 11:3	 12:2	 13:4	 14:2	 15:1	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.30083681750037E-02	 6:-2.80095512671225E-04	 7:-9.43861269604793	 8:-11.1812980004233	 9:-1.70808662409829E-02	 10:8.55670753504401	 11:3	 12:1	 13:1	 14:3	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.19972818123411E-02	 6:-2.16799018301338E-04	 7:11.8277810474618	 8:32.9265852996932	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:1	 13:1	 14:1	 15:3	 16:3	 17:1
1	 1:.877706598916839	 2:6.35496436496378E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:5.19118635292257E-03	 6:9.79858986397065E-05	 7:-5.61066182221617	 8:-9.91099095324998	 9:.094026892090637	 10:-1.55244820750308	 11:3	 12:1	 13:1	 14:3	 15:2	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-8.96402272435341E-03	 6:-1.33323011705676E-04	 7:-9.43861269604793	 8:-15.2140189867365	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:2	 14:5	 15:4	 16:3	 17:2
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.55360840816601E-02	 6:-3.26243517625975E-04	 7:75.626962277991	 8:66.4485769634677	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:2	 14:4	 15:3	 16:3	 17:1
2	 1:.06206436867749	 2:2.24465003467642E-04	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-2.3919613670467E-03	 6:-1.0824653170485E-04	 7:-9.43861269604793	 8:-12.8847750928902	 9:4.93834913557247E-02	 10:18.6658632775911	 11:3	 12:2	 13:2	 14:3	 15:1	 16:3	 17:1
1	 1:.152691283148529	 2:-1.17816338421596E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:2.94572590568243E-02	 6:1.57209759803164E-03	 7:-8.52392893868033	 8:-11.8815052182027	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:4	 13:1	 14:1	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.55360840816601E-02	 6:-3.26243517625975E-04	 7:75.626962277991	 8:66.4485769634677	 9:-1.70808662409829E-02	 10:13.6112854063176	 11:3	 12:2	 13:2	 14:5	 15:1	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-6.94184999902827E-03	 6:-7.99387811219276E-05	 7:-9.43861269604793	 8:-15.10199907696	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:7	 14:2	 15:4	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.55360840816601E-02	 6:-3.26243517625975E-04	 7:75.626962277991	 8:66.4485769634677	 9:-1.70808662409829E-02	 10:3.50212966377047	 11:3	 12:3	 13:2	 14:3	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.55360840816601E-02	 6:-3.26243517625975E-04	 7:75.626962277991	 8:66.4485769634677	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:6	 14:1	 15:2	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-5.9307636363657E-03	 6:-2.7234653142555E-04	 7:1.19458417570694	 8:3.99181381077947	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:6	 14:6	 15:1	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.50305409003288E-02	 6:-3.14501717548731E-04	 7:-9.43861269604793	 8:24.105008724357	 9:-1.70808662409829E-02	 10:8.55670753504401	 11:3	 12:2	 13:2	 14:3	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.19972818123411E-02	 6:-2.09735733904685E-04	 7:-9.43861269604793	 8:-12.9456134848648	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:4	 14:3	 15:2	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.45249977189975E-02	 6:-2.8937972668579E-04	 7:-9.43861269604793	 8:9.99048611913204	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:4	 14:3	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-7.95293636169084E-03	 6:-1.65590206500693E-04	 7:-9.43861269604793	 8:-7.65266745497597	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:2	 13:4	 14:1	 15:1	 16:3	 17:1
2	 1:.696452769974761	 2:2.95943301532558E-02	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:2.15792726493486E-03	 6:2.50290243970978E-04	 7:-7.58936110316255	 8:-12.1018103350372	 9:1.60973490705271E-02	 10:-1.55244820750308	 11:3	 12:2	 13:6	 14:1	 15:2	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.50305409003288E-02	 6:-3.05490568652241E-04	 7:-9.43861269604793	 8:2.9332246048017	 9:-1.70808662409829E-02	 10:13.6112854063176	 11:3	 12:3	 13:2	 14:3	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.55360840816601E-02	 6:-3.26243517625975E-04	 7:75.626962277991	 8:66.4485769634677	 9:-1.70808662409829E-02	 10:23.7204411488646	 11:3	 12:1	 13:1	 14:1	 15:3	 16:3	 17:2
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.55360840816601E-02	 6:-3.26243517625975E-04	 7:75.626962277991	 8:66.4485769634677	 9:-1.70808662409829E-02	 10:8.55670753504401	 11:3	 12:1	 13:1	 14:1	 15:3	 16:3	 17:1
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.25028249936724E-02	 6:-2.69445973066283E-04	 7:-9.43861269604793	 8:-6.14039697924958	 9:-1.70808662409829E-02	 10:-1.55244820750308	 11:3	 12:4	 13:1	 14:1	 15:5	 16:3	 17:2
1	 1:-.209816374735626	 2:-2.58612495979249E-03	 3:-.312136215941256	 4:-1.7401193706446E-03	 5:-1.40194545376663E-02	 6:-2.52515935745606E-04	 7:-9.43861269604793	 8:-11.1812980004233	 9:-1.70808662409829E-02	 10:18.6658632775911	 11:3	 12:1	 13:1	 14:1	 15:3	 16:3	 17:1
