2	 1:24.94	 2:24.75	 3:24.56	 4:25.38	 5:121	 6:34	 7:53	 8:40	 9:.08	 10:.19	 11:.06	 12:.06	 13:390	 14:.769230769231	 15:0	 16:0
2	 1:25.06	 2:24.88	 3:24.63	 4:25.56	 5:123	 6:35	 7:58	 8:44	 9:.57	 10:.17	 11:.21	 12:.13	 13:390	 14:-.630769230769	 15:1	 16:0
2	 1:25.06	 2:24.88	 3:24.63	 4:25.56	 5:123	 6:35	 7:58	 8:44	 9:.14	 10:.17	 11:.15	 12:.06	 13:390	 14:-.719230769231	 15:1	 16:0
2	 1:25.06	 2:24.88	 3:24.63	 4:25.56	 5:122	 6:35	 7:58	 8:44	 9:.24	 10:.05	 11:.1	 12:.05	 13:395	 14:-.711538461538	 15:0	 16:0
2	 1:25.06	 2:24.81	 3:24.63	 4:25.56	 5:122	 6:35	 7:57	 8:44	 9:.25	 10:.07	 11:.07	 12:.05	 13:395	 14:-.653846153846	 15:1	 16:0
2	 1:25.06	 2:24.81	 3:24.63	 4:25.56	 5:123	 6:35	 7:58	 8:44	 9:.23	 10:.07	 11:.08	 12:.06	 13:395	 14:-.542307692308	 15:1	 16:0
2	 1:25.06	 2:24.88	 3:24.63	 4:25.5	 5:123	 6:35	 7:58	 8:45	 9:.13	 10:.06	 11:.06	 12:.06	 13:395	 14:-.373076923077	 15:0	 16:0
2	 1:25.13	 2:24.88	 3:24.63	 4:25.5	 5:123	 6:35	 7:58	 8:44	 9:.13	 10:.04	 11:.06	 12:.06	 13:390	 14:-.238461538462	 15:0	 16:0
2	 1:25.06	 2:24.88	 3:24.63	 4:25.56	 5:123	 6:35	 7:57	 8:44	 9:.15	 10:.05	 11:.06	 12:.06	 13:395	 14:-.0923076923077	 15:0	 16:0
2	 1:25.13	 2:24.88	 3:24.63	 4:25.56	 5:123	 6:35	 7:58	 8:45	 9:.11	 10:.05	 11:.06	 12:.06	 13:395	 14:.0615384615385	 15:0	 16:0
2	 1:25.13	 2:24.88	 3:24.63	 4:25.56	 5:123	 6:35	 7:58	 8:45	 9:1.31	 10:.12	 11:.08	 12:.07	 13:400	 14:.319230769231	 15:0	 16:0
2	 1:25.13	 2:24.88	 3:24.63	 4:25.5	 5:124	 6:35	 7:59	 8:45	 9:.11	 10:.12	 11:.06	 12:.06	 13:400	 14:.334615384615	 15:0	 16:0
2	 1:25.13	 2:24.88	 3:24.69	 4:25.5	 5:123	 6:35	 7:58	 8:45	 9:1.57	 10:.08	 11:.07	 12:.14	 13:400	 14:.388461538462	 15:1	 16:0
2	 1:25.13	 2:24.88	 3:24.69	 4:25.5	 5:123	 6:35	 7:59	 8:44	 9:.21	 10:.19	 11:.17	 12:.07	 13:405	 14:.480769230769	 15:1	 16:0
2	 1:25.13	 2:24.88	 3:24.69	 4:25.56	 5:123	 6:35	 7:58	 8:44	 9:.44	 10:.13	 11:.17	 12:.09	 13:410	 14:.607692307692	 15:1	 16:0
2	 1:25.13	 2:24.88	 3:24.69	 4:25.56	 5:123	 6:35	 7:58	 8:44	 9:.46	 10:.14	 11:.16	 12:.07	 13:410	 14:.719230769231	 15:1	 16:0
2	 1:25.13	 2:24.88	 3:24.69	 4:25.56	 5:123	 6:35	 7:58	 8:45	 9:.98	 10:.25	 11:.19	 12:.16	 13:405	 14:.769230769231	 15:1	 16:0
2	 1:25.19	 2:24.88	 3:24.69	 4:25.56	 5:123	 6:35	 7:58	 8:44	 9:.15	 10:.13	 11:.23	 12:.06	 13:405	 14:.807692307692	 15:0	 16:0
2	 1:25.19	 2:24.88	 3:24.69	 4:25.56	 5:123	 6:35	 7:58	 8:45	 9:.08	 10:.08	 11:.07	 12:.06	 13:400	 14:.788461538462	 15:0	 16:0
2	 1:25.19	 2:24.88	 3:24.69	 4:25.56	 5:123	 6:35	 7:58	 8:44	 9:.09	 10:.05	 11:.07	 12:.08	 13:410	 14:.853846153846	 15:1	 16:0
2	 1:25.19	 2:24.88	 3:24.69	 4:25.56	 5:123	 6:35	 7:58	 8:44	 9:.37	 10:.16	 11:.18	 12:.05	 13:410	 14:.903846153846	 15:0	 16:0
2	 1:25.19	 2:24.88	 3:24.69	 4:25.69	 5:122	 6:35	 7:59	 8:44	 9:.08	 10:.06	 11:.06	 12:.06	 13:405	 14:.892307692308	 15:0	 16:0
2	 1:25.19	 2:24.88	 3:24.69	 4:25.63	 5:122	 6:35	 7:58	 8:44	 9:.93	 10:.05	 11:.06	 12:.14	 13:410	 14:.915384615385	 15:0	 16:0
2	 1:25.19	 2:24.88	 3:24.69	 4:25.63	 5:123	 6:35	 7:57	 8:44	 9:.07	 10:.24	 11:.06	 12:.06	 13:410	 14:.923076923077	 15:0	 16:0
2	 1:25.19	 2:24.94	 3:24.69	 4:25.56	 5:123	 6:35	 7:58	 8:44	 9:.07	 10:.05	 11:.05	 12:.06	 13:415	 14:.961538461538	 15:0	 16:0
2	 1:25.19	 2:24.88	 3:24.69	 4:25.56	 5:123	 6:35	 7:58	 8:44	 9:.08	 10:.05	 11:.05	 12:.06	 13:420	 14:1.02692307692	 15:0	 16:0
2	 1:25.19	 2:24.94	 3:24.69	 4:25.56	 5:123	 6:35	 7:57	 8:43	 9:.08	 10:.05	 11:.06	 12:.06	 13:425	 14:1.11538461538	 15:0	 16:0
2	 1:25.19	 2:24.94	 3:24.75	 4:25.56	 5:123	 6:35	 7:57	 8:44	 9:1.27	 10:.06	 11:.11	 12:.13	 13:425	 14:1.17692307692	 15:0	 16:0
2	 1:25.19	 2:24.94	 3:24.69	 4:25.63	 5:123	 6:35	 7:59	 8:45	 9:.08	 10:.26	 11:.21	 12:.07	 13:420	 14:1.21538461538	 15:0	 16:0
2	 1:25.19	 2:24.94	 3:24.75	 4:25.63	 5:123	 6:36	 7:59	 8:45	 9:.1	 10:.08	 11:.09	 12:.06	 13:420	 14:1.23461538462	 15:0	 16:0
2	 1:25.19	 2:24.94	 3:24.69	 4:25.63	 5:123	 6:35	 7:59	 8:45	 9:.46	 10:.16	 11:.21	 12:.11	 13:420	 14:1.23461538462	 15:1	 16:0
2	 1:25.19	 2:24.88	 3:24.69	 4:25.63	 5:123	 6:35	 7:59	 8:45	 9:.42	 10:.19	 11:.16	 12:.09	 13:420	 14:1.21538461538	 15:0	 16:0
2	 1:25.19	 2:24.94	 3:24.75	 4:25.63	 5:124	 6:35	 7:60	 8:46	 9:.17	 10:.05	 11:.06	 12:.06	 13:425	 14:1.17307692308	 15:0	 16:0
2	 1:25.19	 2:24.94	 3:24.75	 4:25.63	 5:124	 6:36	 7:61	 8:47	 9:1.44	 10:.12	 11:.15	 12:.09	 13:430	 14:1.2	 15:0	 16:0
2	 1:25.25	 2:24.94	 3:24.75	 4:25.63	 5:124	 6:36	 7:61	 8:46	 9:.76	 10:.27	 11:.24	 12:.13	 13:430	 14:1.2	 15:1	 16:0
2	 1:25.25	 2:24.94	 3:24.75	 4:25.63	 5:124	 6:36	 7:61	 8:46	 9:.16	 10:.06	 11:.05	 12:.06	 13:435	 14:1.26923076923	 15:0	 16:0
2	 1:25.25	 2:24.94	 3:24.75	 4:25.56	 5:124	 6:36	 7:60	 8:46	 9:.09	 10:.05	 11:.06	 12:.06	 13:425	 14:1.21923076923	 15:0	 16:0
2	 1:25.25	 2:24.94	 3:24.75	 4:25.69	 5:123	 6:35	 7:59	 8:45	 9:.28	 10:.05	 11:.07	 12:.06	 13:425	 14:1.15	 15:0	 16:0
2	 1:25.25	 2:24.94	 3:24.75	 4:25.63	 5:123	 6:35	 7:59	 8:45	 9:.07	 10:.07	 11:.05	 12:.07	 13:420	 14:1.06538461538	 15:0	 16:0
2	 1:25.25	 2:24.94	 3:24.75	 4:25.63	 5:124	 6:36	 7:60	 8:46	 9:.28	 10:.12	 11:.11	 12:.08	 13:420	 14:1.01923076923	 15:1	 16:0
2	 1:25.25	 2:24.94	 3:24.75	 4:25.63	 5:123	 6:35	 7:60	 8:45	 9:.24	 10:.11	 11:.14	 12:.07	 13:420	 14:.965384615385	 15:0	 16:0
2	 1:25.25	 2:24.94	 3:24.75	 4:25.69	 5:123	 6:35	 7:60	 8:45	 9:.93	 10:.14	 11:.12	 12:.08	 13:430	 14:.946153846154	 15:1	 16:0
2	 1:25.25	 2:24.94	 3:24.75	 4:25.69	 5:123	 6:35	 7:60	 8:45	 9:.1	 10:.09	 11:.1	 12:.06	 13:435	 14:.953846153846	 15:0	 16:0
2	 1:25.25	 2:24.94	 3:24.81	 4:25.63	 5:123	 6:35	 7:59	 8:45	 9:.68	 10:.12	 11:.11	 12:.1	 13:430	 14:.842307692308	 15:0	 16:0
2	 1:25.25	 2:24.94	 3:24.75	 4:25.63	 5:123	 6:35	 7:60	 8:45	 9:.94	 10:.12	 11:.13	 12:.06	 13:445	 14:.946153846154	 15:0	 16:0
2	 1:25.25	 2:24.94	 3:24.75	 4:25.56	 5:123	 6:35	 7:59	 8:45	 9:.12	 10:.05	 11:.06	 12:.07	 13:440	 14:.976923076923	 15:0	 16:0
2	 1:25.25	 2:25	 3:24.81	 4:25.63	 5:123	 6:35	 7:59	 8:45	 9:.29	 10:.08	 11:.1	 12:.07	 13:440	 14:.934615384615	 15:0	 16:0
2	 1:25.25	 2:24.94	 3:24.81	 4:25.69	 5:124	 6:36	 7:61	 8:47	 9:.83	 10:.05	 11:.06	 12:.08	 13:435	 14:.869230769231	 15:0	 16:0
2	 1:25.25	 2:25	 3:24.81	 4:25.69	 5:124	 6:36	 7:62	 8:47	 9:1.1	 10:.1	 11:.09	 12:.05	 13:430	 14:.738461538462	 15:1	 16:0
2	 1:25.25	 2:25	 3:24.81	 4:25.63	 5:124	 6:36	 7:61	 8:46	 9:.83	 10:.1	 11:.11	 12:.1	 13:435	 14:.688461538462	 15:0	 16:0
2	 1:25.25	 2:25	 3:24.81	 4:25.69	 5:123	 6:36	 7:60	 8:45	 9:.48	 10:.15	 11:.18	 12:.11	 13:440	 14:.719230769231	 15:1	 16:0
2	 1:25.31	 2:25	 3:24.81	 4:25.69	 5:123	 6:35	 7:60	 8:46	 9:.65	 10:.08	 11:.11	 12:.07	 13:445	 14:.830769230769	 15:0	 16:0
2	 1:25.31	 2:25	 3:24.81	 4:25.63	 5:123	 6:35	 7:60	 8:45	 9:.4	 10:.06	 11:.08	 12:.06	 13:445	 14:.926923076923	 15:0	 16:0
2	 1:25.31	 2:25	 3:24.81	 4:25.63	 5:124	 6:36	 7:60	 8:45	 9:.49	 10:.06	 11:.07	 12:.07	 13:445	 14:.957692307692	 15:0	 16:0
2	 1:25.31	 2:25	 3:24.81	 4:25.69	 5:124	 6:35	 7:60	 8:45	 9:.13	 10:.1	 11:.09	 12:.06	 13:445	 14:.969230769231	 15:0	 16:0
2	 1:25.31	 2:25	 3:24.81	 4:25.75	 5:124	 6:36	 7:60	 8:46	 9:.35	 10:.05	 11:.05	 12:.11	 13:440	 14:.915384615385	 15:0	 16:0
2	 1:25.31	 2:25	 3:24.81	 4:25.75	 5:124	 6:36	 7:63	 8:48	 9:.17	 10:.1	 11:.14	 12:.06	 13:440	 14:.846153846154	 15:0	 16:0
2	 1:25.31	 2:25	 3:24.81	 4:25.75	 5:124	 6:37	 7:64	 8:49	 9:1.85	 10:.19	 11:.15	 12:.12	 13:445	 14:.857692307692	 15:0	 16:0
2	 1:25.31	 2:25	 3:24.81	 4:25.69	 5:124	 6:37	 7:65	 8:49	 9:.28	 10:.08	 11:.08	 12:.07	 13:445	 14:.903846153846	 15:1	 16:0
2	 1:25.31	 2:25	 3:24.81	 4:25.75	 5:123	 6:37	 7:64	 8:49	 9:.36	 10:.09	 11:.09	 12:.09	 13:450	 14:.984615384615	 15:1	 16:0
2	 1:25.31	 2:25.25	 3:24.88	 4:25.75	 5:123	 6:31	 7:61	 8:46	 9:.48	 10:.31	 11:.53	 12:.1	 13:450	 14:1.1	 15:1	 16:1
2	 1:25.31	 2:25.63	 3:24.81	 4:25.75	 5:124	 6:29	 7:62	 8:46	 9:.51	 10:.55	 11:.17	 12:.12	 13:450	 14:1.10384615385	 15:1	 16:1
2	 1:25.38	 2:25.44	 3:24.81	 4:25.69	 5:150	 6:187	 7:63	 8:49	 9:.46	 10:.46	 11:.21	 12:.11	 13:450	 14:1.08846153846	 15:1	 16:1
2	 1:25.38	 2:25.44	 3:24.81	 4:25.75	 5:153	 6:216	 7:63	 8:49	 9:.76	 10:.74	 11:.15	 12:.14	 13:450	 14:1.00384615385	 15:1	 16:1
2	 1:25.38	 2:25.44	 3:24.88	 4:25.75	 5:155	 6:234	 7:63	 8:49	 9:1.77	 10:1.08	 11:.2	 12:.08	 13:450	 14:.896153846154	 15:1	 16:1
2	 1:25.38	 2:25.44	 3:24.81	 4:25.75	 5:156	 6:239	 7:64	 8:50	 9:.8	 10:.29	 11:.1	 12:.09	 13:445	 14:.719230769231	 15:0	 16:1
2	 1:25.38	 2:25.38	 3:24.81	 4:25.81	 5:157	 6:241	 7:67	 8:53	 9:.73	 10:.24	 11:.1	 12:.1	 13:445	 14:.623076923077	 15:0	 16:1
2	 1:25.38	 2:25.38	 3:24.88	 4:25.81	 5:157	 6:242	 7:68	 8:54	 9:1.14	 10:.33	 11:.23	 12:.17	 13:450	 14:.611538461538	 15:0	 16:1
2	 1:25.38	 2:25.44	 3:24.81	 4:25.81	 5:157	 6:242	 7:69	 8:54	 9:.58	 10:.56	 11:.25	 12:.16	 13:450	 14:.538461538462	 15:0	 16:1
2	 1:25.38	 2:25.44	 3:24.88	 4:25.69	 5:158	 6:243	 7:70	 8:54	 9:.71	 10:.68	 11:.27	 12:.23	 13:455	 14:.646153846154	 15:1	 16:0
2	 1:25.38	 2:25.44	 3:24.81	 4:25.81	 5:157	 6:242	 7:67	 8:53	 9:.44	 10:.63	 11:.25	 12:.1	 13:455	 14:.696153846154	 15:1	 16:0
2	 1:25.38	 2:25.31	 3:24.88	 4:25.75	 5:157	 6:242	 7:68	 8:53	 9:.23	 10:.32	 11:.13	 12:.11	 13:450	 14:.688461538462	 15:0	 16:0
2	 1:25.38	 2:25.38	 3:24.88	 4:25.75	 5:157	 6:241	 7:68	 8:53	 9:2.79	 10:.41	 11:.2	 12:.24	 13:450	 14:.623076923077	 15:1	 16:0
2	 1:25.38	 2:25.38	 3:24.88	 4:25.75	 5:157	 6:241	 7:68	 8:53	 9:.54	 10:.55	 11:.21	 12:.18	 13:445	 14:.45	 15:1	 16:0
2	 1:25.38	 2:25.44	 3:24.88	 4:25.75	 5:157	 6:240	 7:69	 8:54	 9:2.49	 10:.67	 11:.2	 12:.12	 13:450	 14:.361538461538	 15:1	 16:0
2	 1:25.44	 2:25.44	 3:24.88	 4:25.75	 5:157	 6:240	 7:70	 8:54	 9:.47	 10:.25	 11:.14	 12:.11	 13:450	 14:.311538461538	 15:1	 16:0
2	 1:25.44	 2:25.38	 3:24.88	 4:25.81	 5:157	 6:239	 7:70	 8:54	 9:3.51	 10:.38	 11:.22	 12:.19	 13:450	 14:.303846153846	 15:1	 16:0
2	 1:25.44	 2:25.38	 3:24.88	 4:25.81	 5:156	 6:239	 7:70	 8:54	 9:.73	 10:.81	 11:.41	 12:.17	 13:460	 14:.384615384615	 15:1	 16:0
2	 1:25.44	 2:25.44	 3:24.88	 4:25.81	 5:157	 6:239	 7:70	 8:54	 9:.63	 10:.42	 11:.21	 12:.15	 13:460	 14:.453846153846	 15:0	 16:0
2	 1:25.44	 2:25.5	 3:24.88	 4:25.75	 5:155	 6:236	 7:70	 8:53	 9:1.14	 10:.56	 11:.32	 12:.14	 13:475	 14:.65	 15:1	 16:1
2	 1:25.44	 2:25.56	 3:24.88	 4:25.75	 5:155	 6:236	 7:68	 8:53	 9:1.02	 10:.51	 11:.17	 12:.17	 13:480	 14:.819230769231	 15:1	 16:1
2	 1:25.44	 2:25.5	 3:24.88	 4:25.75	 5:155	 6:237	 7:69	 8:54	 9:.63	 10:.36	 11:.18	 12:.13	 13:480	 14:.957692307692	 15:0	 16:1
2	 1:25.44	 2:25.56	 3:24.94	 4:25.75	 5:155	 6:236	 7:69	 8:54	 9:1.33	 10:.78	 11:.18	 12:.11	 13:485	 14:1.16153846154	 15:1	 16:1
2	 1:25.44	 2:25.56	 3:24.94	 4:25.81	 5:155	 6:236	 7:70	 8:54	 9:.17	 10:.35	 11:.11	 12:.07	 13:490	 14:1.38076923077	 15:0	 16:1
2	 1:25.44	 2:25.56	 3:24.94	 4:25.75	 5:155	 6:237	 7:71	 8:55	 9:.43	 10:.36	 11:.21	 12:.11	 13:500	 14:1.70769230769	 15:1	 16:1
2	 1:25.5	 2:25.56	 3:24.88	 4:25.81	 5:155	 6:237	 7:71	 8:55	 9:1.87	 10:.56	 11:.23	 12:.14	 13:500	 14:1.99615384615	 15:1	 16:1
2	 1:25.5	 2:25.56	 3:24.88	 4:25.81	 5:155	 6:235	 7:72	 8:54	 9:.73	 10:1.15	 11:.24	 12:.17	 13:500	 14:2.24615384615	 15:0	 16:0
2	 1:25.44	 2:25.56	 3:24.94	 4:25.88	 5:155	 6:236	 7:71	 8:54	 9:1.53	 10:1.24	 11:.36	 12:.27	 13:500	 14:2.45769230769	 15:1	 16:0
2	 1:25.44	 2:25.56	 3:24.94	 4:25.81	 5:155	 6:235	 7:71	 8:54	 9:2.95	 10:1.27	 11:.25	 12:.17	 13:510	 14:2.72307692308	 15:1	 16:1
2	 1:25.5	 2:25.56	 3:24.94	 4:25.81	 5:155	 6:235	 7:70	 8:54	 9:1.78	 10:.63	 11:.18	 12:.08	 13:510	 14:2.94230769231	 15:1	 16:0
2	 1:25.5	 2:25.56	 3:24.94	 4:25.75	 5:155	 6:234	 7:70	 8:54	 9:.08	 10:.35	 11:.07	 12:.28	 13:515	 14:3.11153846154	 15:0	 16:0
2	 1:25.44	 2:25.63	 3:24.94	 4:25.81	 5:155	 6:234	 7:70	 8:54	 9:.45	 10:2.12	 11:.34	 12:.06	 13:515	 14:3.22692307692	 15:1	 16:0
2	 1:25.5	 2:25.63	 3:24.94	 4:25.81	 5:155	 6:235	 7:71	 8:55	 9:2.01	 10:.32	 11:.11	 12:.09	 13:515	 14:3.33846153846	 15:0	 16:0
2	 1:25.5	 2:25.63	 3:24.94	 4:25.88	 5:155	 6:235	 7:72	 8:55	 9:.33	 10:.38	 11:.1	 12:.09	 13:520	 14:3.44615384615	 15:0	 16:1
2	 1:25.5	 2:25.63	 3:24.94	 4:25.81	 5:155	 6:235	 7:71	 8:55	 9:.5	 10:.49	 11:.14	 12:.11	 13:525	 14:3.59615384615	 15:1	 16:1
2	 1:25.5	 2:25.63	 3:24.94	 4:25.81	 5:155	 6:234	 7:73	 8:56	 9:1.02	 10:.29	 11:.16	 12:.13	 13:530	 14:3.73846153846	 15:1	 16:1
2	 1:25.5	 2:25.56	 3:24.94	 4:25.81	 5:155	 6:234	 7:72	 8:55	 9:.49	 10:.23	 11:.19	 12:.15	 13:540	 14:3.86538461538	 15:1	 16:1
2	 1:25.5	 2:25.63	 3:24.94	 4:25.81	 5:155	 6:235	 7:73	 8:56	 9:.29	 10:.51	 11:.19	 12:.09	 13:540	 14:3.92307692308	 15:1	 16:0
2	 1:25.5	 2:25.63	 3:24.94	 4:25.81	 5:155	 6:234	 7:73	 8:56	 9:.33	 10:.19	 11:.11	 12:.13	 13:545	 14:3.90769230769	 15:1	 16:0
2	 1:25.56	 2:25.63	 3:24.94	 4:25.81	 5:155	 6:234	 7:73	 8:56	 9:.15	 10:.26	 11:.22	 12:.07	 13:545	 14:3.86538461538	 15:1	 16:0
2	 1:25.56	 2:25.69	 3:25	 4:25.94	 5:155	 6:234	 7:74	 8:56	 9:.63	 10:.15	 11:.09	 12:.06	 13:545	 14:3.75	 15:0	 16:0
2	 1:25.56	 2:25.69	 3:25	 4:25.81	 5:155	 6:233	 7:73	 8:56	 9:.08	 10:.14	 11:.06	 12:.06	 13:550	 14:3.60769230769	 15:0	 16:0
2	 1:25.5	 2:25.69	 3:24.94	 4:25.81	 5:155	 6:233	 7:73	 8:56	 9:.17	 10:.14	 11:.15	 12:.07	 13:550	 14:3.48846153846	 15:0	 16:0
2	 1:25.56	 2:25.69	 3:25	 4:25.81	 5:155	 6:233	 7:73	 8:56	 9:1.81	 10:.28	 11:.06	 12:.1	 13:550	 14:3.3	 15:0	 16:1
2	 1:25.56	 2:25.69	 3:25	 4:25.81	 5:155	 6:233	 7:74	 8:56	 9:.63	 10:.42	 11:.15	 12:.13	 13:555	 14:3.23846153846	 15:1	 16:1
2	 1:25.56	 2:25.69	 3:25	 4:25.81	 5:155	 6:233	 7:74	 8:57	 9:.68	 10:.82	 11:.19	 12:.12	 13:555	 14:3.16538461538	 15:1	 16:0
2	 1:25.56	 2:25.75	 3:25	 4:25.81	 5:155	 6:233	 7:74	 8:57	 9:.32	 10:.43	 11:.16	 12:.11	 13:555	 14:3.03461538462	 15:1	 16:1
2	 1:25.56	 2:25.75	 3:25	 4:25.81	 5:155	 6:233	 7:75	 8:57	 9:1.16	 10:.27	 11:.09	 12:.07	 13:555	 14:2.89615384615	 15:1	 16:1
2	 1:25.56	 2:25.75	 3:25	 4:25.88	 5:155	 6:232	 7:74	 8:57	 9:.45	 10:.17	 11:.13	 12:.14	 13:560	 14:2.8	 15:1	 16:1
2	 1:25.56	 2:25.69	 3:25	 4:25.88	 5:155	 6:233	 7:74	 8:56	 9:.31	 10:.5	 11:.27	 12:.06	 13:560	 14:2.75	 15:1	 16:0
2	 1:25.56	 2:25.75	 3:25	 4:25.88	 5:155	 6:233	 7:74	 8:56	 9:.5	 10:.1	 11:.11	 12:.08	 13:560	 14:2.65384615385	 15:1	 16:0
2	 1:25.56	 2:25.69	 3:25	 4:25.88	 5:155	 6:232	 7:75	 8:58	 9:1.33	 10:1.54	 11:.42	 12:.2	 13:560	 14:2.51153846154	 15:1	 16:1
2	 1:25.56	 2:25.75	 3:25	 4:25.94	 5:155	 6:232	 7:75	 8:58	 9:.54	 10:.78	 11:.29	 12:.21	 13:565	 14:2.36923076923	 15:1	 16:1
2	 1:25.56	 2:25.75	 3:25	 4:25.88	 5:155	 6:232	 7:75	 8:58	 9:.41	 10:1.05	 11:.29	 12:.17	 13:570	 14:2.32307692308	 15:1	 16:1
2	 1:25.56	 2:25.69	 3:25	 4:25.94	 5:151	 6:232	 7:75	 8:58	 9:2.12	 10:1.03	 11:.16	 12:.46	 13:570	 14:2.23076923077	 15:1	 16:1
2	 1:25.56	 2:25.94	 3:25	 4:25.94	 5:155	 6:239	 7:75	 8:58	 9:.44	 10:3.44	 11:.67	 12:.36	 13:570	 14:2.14230769231	 15:1	 16:1
2	 1:25.56	 2:26.38	 3:25	 4:25.94	 5:156	 6:243	 7:75	 8:58	 9:.92	 10:1.27	 11:.65	 12:.83	 13:580	 14:2.10384615385	 15:1	 16:1
2	 1:25.56	 2:26.81	 3:25	 4:25.94	 5:155	 6:242	 7:75	 8:57	 9:.37	 10:1.96	 11:.98	 12:.11	 13:580	 14:2.01538461538	 15:1	 16:1
2	 1:25.56	 2:26.81	 3:25.06	 4:25.88	 5:155	 6:242	 7:75	 8:56	 9:.55	 10:.9	 11:.23	 12:.32	 13:585	 14:1.97307692308	 15:1	 16:1
2	 1:25.56	 2:27	 3:25	 4:25.94	 5:155	 6:238	 7:74	 8:57	 9:.44	 10:.6	 11:.49	 12:.19	 13:590	 14:1.97692307692	 15:1	 16:1
2	 1:25.56	 2:26.94	 3:25.06	 4:26	 5:155	 6:243	 7:73	 8:56	 9:.43	 10:1.03	 11:.22	 12:.15	 13:585	 14:1.93461538462	 15:1	 16:1
2	 1:25.56	 2:27.19	 3:25.06	 4:25.88	 5:156	 6:243	 7:71	 8:57	 9:.37	 10:.1	 11:.22	 12:.06	 13:590	 14:1.99615384615	 15:0	 16:0
2	 1:25.56	 2:27.25	 3:25	 4:25.94	 5:156	 6:243	 7:74	 8:58	 9:.22	 10:.06	 11:.06	 12:.06	 13:590	 14:2.01923076923	 15:0	 16:0
2	 1:25.56	 2:27.44	 3:25.06	 4:26	 5:156	 6:244	 7:75	 8:58	 9:.1	 10:.05	 11:.06	 12:.06	 13:600	 14:2.14615384615	 15:0	 16:0
2	 1:25.56	 2:27.5	 3:25.06	 4:26	 5:157	 6:244	 7:75	 8:58	 9:.09	 10:.05	 11:.05	 12:.06	 13:600	 14:2.23076923077	 15:0	 16:0
2	 1:25.56	 2:27.56	 3:25.06	 4:26	 5:157	 6:244	 7:75	 8:58	 9:.09	 10:.07	 11:.08	 12:.07	 13:595	 14:2.22692307692	 15:0	 16:0
2	 1:25.56	 2:27.75	 3:25.06	 4:26	 5:156	 6:244	 7:75	 8:58	 9:.7	 10:.1	 11:.08	 12:.09	 13:605	 14:2.32692307692	 15:1	 16:0
2	 1:25.56	 2:27.94	 3:25.06	 4:25.94	 5:157	 6:244	 7:75	 8:59	 9:1.93	 10:.15	 11:.11	 12:.06	 13:595	 14:2.29230769231	 15:1	 16:0
