1	 1:.2	 2:.4	 3:0	 4:.0000277778	 5:0	 6:.993592814	 7:.0000277778	 8:.666666667	 9:5
1	 1:.052631579	 2:.041666667	 3:0	 4:.827561728	 5:.25	 6:.993592814	 7:.827561728	 8:0	 9:3
1	 1:.043478261	 2:.166666667	 3:0	 4:.056413691	 5:0	 6:0	 7:.056413691	 8:.8	 9:7
1	 1:.157894737	 2:.375	 3:0	 4:.523162037	 5:0	 6:0	 7:.000305556	 8:.727272727	 9:5
2	 1:.571428571	 2:.666666667	 3:.5	 4:.00197586	 5:0	 6:0	 7:.00197586	 8:1	 9:7
1	 1:.052631579	 2:.125	 3:0	 4:.024541667	 5:0	 6:0	 7:.024541667	 8:1	 9:5
1	 1:.009803922	 2:.023809524	 3:0	 4:.991195437	 5:.571428571	 6:.993528095	 7:.991195437	 8:0	 9:7
1	 1:.210526316	 2:.235294118	 3:0	 4:.0000380291	 5:0	 6:0	 7:.0000082672	 8:.833333333	 9:7
2	 1:.481481481	 2:.26	 3:1	 4:.930847222	 5:.64	 6:.993592814	 7:.927180556	 8:.666666667	 9:5
1	 1:.103448276	 2:.136363636	 3:0	 4:.69020668	 5:.181818182	 6:.993592814	 7:.69020172	 8:.8	 9:7
1	 1:.058823529	 2:.045454545	 3:0	 4:.158763228	 5:.181818182	 6:.993592814	 7:.158763228	 8:0	 9:7
1	 1:.022727273	 2:.045454545	 3:0	 4:.577357804	 5:.181818182	 6:.993592814	 7:.577357804	 8:0	 9:7
1	 1:.025974026	 2:.117647059	 3:0	 4:.0000115741	 5:0	 6:0	 7:.0000033069	 8:.833333333	 9:7
1	 1:.043478261	 2:.058823529	 3:0	 4:.007362765	 5:0	 6:0	 7:.007362765	 8:0	 9:7
1	 1:.071428571	 2:.025	 3:0	 4:.851111111	 5:.55	 6:.993592814	 7:.851111111	 8:0	 9:5
1	 1:.020833333	 2:.017241379	 3:0	 4:.317962963	 5:.689655172	 6:.993592814	 7:.317962963	 8:0	 9:1
1	 1:.025974026	 2:.034482759	 3:0	 4:.319050926	 5:.689655172	 6:.993592814	 7:.316724537	 8:0	 9:1
1	 1:.011764706	 2:.017241379	 3:0	 4:.422696759	 5:.689655172	 6:.993592814	 7:.422696759	 8:0	 9:1
1	 1:.034482759	 2:.017241379	 3:0	 4:.492893519	 5:.689655172	 6:.993592814	 7:.492893519	 8:0	 9:1
2	 1:.142857143	 2:.1	 3:.5	 4:.867055556	 5:.55	 6:.993592814	 7:.86694213	 8:.9	 9:5
1	 1:.111111111	 2:.2	 3:0	 4:.002003968	 5:0	 6:0	 7:.001990741	 8:.777777778	 9:7
1	 1:.2	 2:.3	 3:0	 4:.619857804	 5:0	 6:0	 7:.244773479	 8:.7	 9:7
1	 1:.083333333	 2:.05	 3:0	 4:.899944444	 5:.55	 6:.993592814	 7:.899907407	 8:0	 9:5
1	 1:.014492754	 2:.2	 3:0	 4:.169708995	 5:0	 6:0	 7:.142792659	 8:.865671642	 9:7
1	 1:.181818182	 2:.05	 3:0	 4:.914979167	 5:.55	 6:.993592814	 7:.914967593	 8:0	 9:5
1	 1:.105263158	 2:.2	 3:0	 4:.263721892	 5:0	 6:0	 7:.263715278	 8:.909090909	 9:7
1	 1:.125	 2:.1	 3:0	 4:.42661541	 5:0	 6:0	 7:.42661541	 8:1	 9:7
1	 1:.4	 2:.076923077	 3:0	 4:.949881944	 5:.307692308	 6:0	 7:.949865741	 8:0	 9:5
1	 1:.1	 2:.038461538	 3:0	 4:.956627315	 5:.307692308	 6:0	 7:.956627315	 8:0	 9:5
1	 1:.142857143	 2:.03030303	 3:0	 4:.0000049603	 5:.454545455	 6:.993592814	 7:.0000049603	 8:0	 9:7
1	 1:.010204082	 2:.03030303	 3:0	 4:.027149471	 5:.454545455	 6:.993592814	 7:.027149471	 8:0	 9:7
1	 1:.5	 2:.151515152	 3:0	 4:.727521495	 5:.454545455	 6:.993592814	 7:.713035714	 8:.75	 9:7
1	 1:.04	 2:.2	 3:0	 4:.0003125	 5:0	 6:0	 7:.0003125	 8:1	 9:3
1	 1:.010416667	 2:.076923077	 3:0	 4:.964953704	 5:0	 6:.993592814	 7:.964953704	 8:0	 9:3
1	 1:.012987013	 2:.058823529	 3:0	 4:.990347222	 5:0	 6:0	 7:.990347222	 8:0	 9:1
1	 1:.027027027	 2:.058823529	 3:0	 4:.914135803	 5:0	 6:.993592814	 7:.914135803	 8:0	 9:3
1	 1:0	 2:.058823529	 3:0	 4:.001712963	 5:0	 6:.993592814	 7:.001712963	 8:0	 9:3
1	 1:.07826087	 2:.219512195	 3:0	 4:.972820216	 5:.56097561	 6:.993592814	 7:.779151235	 8:.87755102	 9:3
2	 1:.75	 2:.073170732	 3:.5	 4:.94162037	 5:.56097561	 6:.993592814	 7:.941396605	 8:0	 9:3
1	 1:.025	 2:.058823529	 3:0	 4:.002920525	 5:0	 6:.993592814	 7:.002920525	 8:0	 9:3
1	 1:.060606061	 2:.4	 3:0	 4:.0000710979	 5:0	 6:0	 7:.0000165344	 8:.736842105	 9:7
1	 1:.054054054	 2:.4	 3:0	 4:.019026124	 5:0	 6:0	 7:.019021164	 8:.857142857	 9:7
1	 1:.026666667	 2:.043478261	 3:0	 4:.7953125	 5:.608695652	 6:.99935281	 7:.795289352	 8:0	 9:1
1	 1:1	 2:.235294118	 3:0	 4:.945520833	 5:0	 6:.993592814	 7:.945435957	 8:1	 9:3
1	 1:.015151515	 2:.033333333	 3:0	 4:.0000162037	 5:.4	 6:0	 7:.0000162037	 8:0	 9:5
1	 1:.028571429	 2:.033333333	 3:0	 4:.0000069444	 5:.4	 6:0	 7:.0000069444	 8:0	 9:5
1	 1:.333333333	 2:.033333333	 3:0	 4:.0000092593	 5:.4	 6:0	 7:.0000092593	 8:0	 9:5
1	 1:.166666667	 2:.033333333	 3:0	 4:.011752315	 5:.4	 6:0	 7:.011752315	 8:0	 9:5
1	 1:.008695652	 2:.032258065	 3:0	 4:.0000115741	 5:.419354839	 6:.993592814	 7:.0000115741	 8:0	 9:5
1	 1:.012084592	 2:.129032258	 3:0	 4:.054347222	 5:.419354839	 6:.993592814	 7:.035960648	 8:.848214286	 9:5
1	 1:.056603774	 2:.096774194	 3:0	 4:.092199074	 5:.419354839	 6:.993592814	 7:.001597222	 8:0	 9:5
1	 1:.033333333	 2:.142857143	 3:0	 4:.892387566	 5:0	 6:0	 7:.892387566	 8:1	 9:7
1	 1:.08	 2:.086956522	 3:0	 4:.960856482	 5:.608695652	 6:.99935281	 7:.844849537	 8:0	 9:1
1	 1:.75	 2:.065217391	 3:0	 4:.875046296	 5:.608695652	 6:.99935281	 7:.875046296	 8:0	 9:1
1	 1:.014084507	 2:.066666667	 3:0	 4:.332959105	 5:0	 6:0	 7:.332959105	 8:0	 9:3
1	 1:.090909091	 2:.032258065	 3:0	 4:.171134259	 5:.419354839	 6:.993592814	 7:.171134259	 8:0	 9:5
1	 1:.266666667	 2:.129032258	 3:0	 4:.556298611	 5:.419354839	 6:.993592814	 7:.4275	 8:1	 9:5
1	 1:.18	 2:.290322581	 3:0	 4:.700717593	 5:.419354839	 6:.993592814	 7:.697171296	 8:1	 9:5
1	 1:.090909091	 2:.029411765	 3:0	 4:.0000132275	 5:.470588235	 6:.999935281	 7:.0000132275	 8:0	 9:7
1	 1:.05	 2:.029411765	 3:0	 4:.020008267	 5:.470588235	 6:.999935281	 7:.020008267	 8:0	 9:7
1	 1:.04	 2:.09375	 3:0	 4:.851631944	 5:.4375	 6:.993592814	 7:.851631944	 8:0	 9:3
1	 1:.025641026	 2:.03125	 3:0	 4:.966608796	 5:.4375	 6:.993592814	 7:.966608796	 8:0	 9:3
1	 1:.034482759	 2:.142857143	 3:0	 4:.698981482	 5:0	 6:0	 7:.698981482	 8:.823529412	 9:7
1	 1:0	 2:.03125	 3:0	 4:.981138117	 5:.4375	 6:.993592814	 7:.981138117	 8:0	 9:3
1	 1:.028571429	 2:.04	 3:0	 4:.142399691	 5:.28	 6:0	 7:.142399691	 8:0	 9:3
1	 1:.466666667	 2:.28	 3:0	 4:.289949846	 5:.28	 6:0	 7:.289949846	 8:.833333333	 9:3
2	 1:.454545455	 2:.2	 3:1	 4:.782916667	 5:.28	 6:0	 7:.782858796	 8:1	 9:3
1	 1:.043478261	 2:.04	 3:0	 4:.905783179	 5:.28	 6:0	 7:.905783179	 8:0	 9:3
1	 1:.010416667	 2:.04	 3:0	 4:.912966821	 5:.28	 6:0	 7:.912966821	 8:0	 9:3
1	 1:.03030303	 2:.166666667	 3:0	 4:.0000810185	 5:0	 6:0	 7:.0000810185	 8:.866666667	 9:1
1	 1:.028571429	 2:.166666667	 3:0	 4:.000127315	 5:0	 6:0	 7:.000127315	 8:.761904762	 9:1
1	 1:.058823529	 2:.166666667	 3:0	 4:.009560185	 5:0	 6:0	 7:.009560185	 8:.75	 9:1
1	 1:.054054054	 2:.111111111	 3:0	 4:.509166667	 5:0	 6:0	 7:.0000033069	 8:.777777778	 9:7
1	 1:.026666667	 2:.048780488	 3:0	 4:.073955027	 5:.56097561	 6:.993528095	 7:.073943452	 8:0	 9:7
1	 1:.8	 2:.097560976	 3:0	 4:.341317791	 5:.56097561	 6:.993528095	 7:.163503638	 8:0	 9:7
1	 1:.026086957	 2:.054545455	 3:0	 4:.990189043	 5:.672727273	 6:.99935281	 7:.988337191	 8:0	 9:3
1	 1:.25	 2:.1	 3:0	 4:.988219246	 5:0	 6:0	 7:.988219246	 8:1	 9:7
1	 1:.043478261	 2:.1	 3:0	 4:.997488426	 5:0	 6:0	 7:.997488426	 8:1	 9:7
1	 1:.5	 2:.1	 3:0	 4:.993136574	 5:0	 6:0	 7:.993136574	 8:1	 9:7
1	 1:.04	 2:.1	 3:0	 4:.995760582	 5:0	 6:0	 7:.995760582	 8:1	 9:7
1	 1:.2	 2:.025	 3:0	 4:.836226852	 5:.55	 6:.993592814	 7:.836226852	 8:0	 9:1
1	 1:.025	 2:.076923077	 3:0	 4:.641577932	 5:0	 6:0	 7:.641577932	 8:0	 9:3
1	 1:.085714286	 2:.230769231	 3:.5	 4:.668800154	 5:0	 6:0	 7:.668765432	 8:1	 9:3
2	 1:.424242424	 2:.666666667	 3:1	 4:.906998457	 5:.142857143	 6:0	 7:.700131173	 8:.8	 9:3
2	 1:.052631579	 2:.3	 3:.5	 4:.855553902	 5:0	 6:0	 7:.68051422	 8:.793103448	 9:7
1	 1:.038461538	 2:.166666667	 3:0	 4:.000127315	 5:0	 6:0	 7:.000127315	 8:.8	 9:1
1	 1:.037037037	 2:.166666667	 3:0	 4:.029560185	 5:0	 6:0	 7:.029560185	 8:1	 9:1
1	 1:.2	 2:.166666667	 3:0	 4:.246608796	 5:0	 6:0	 7:.246608796	 8:.5	 9:1
1	 1:.03030303	 2:.166666667	 3:0	 4:.341180556	 5:0	 6:0	 7:.341180556	 8:.736842105	 9:1
1	 1:.030769231	 2:.2	 3:0	 4:.000135031	 5:0	 6:0	 7:.0000925926	 8:.782608696	 9:3
1	 1:.4	 2:.2	 3:0	 4:.000771605	 5:0	 6:0	 7:.000771605	 8:1	 9:3
1	 1:.003021148	 2:.1	 3:0	 4:.475416667	 5:0	 6:0	 7:.475416667	 8:.848214286	 9:3
1	 1:.009259259	 2:.052631579	 3:0	 4:.534490741	 5:.052631579	 6:0	 7:.534490741	 8:0	 9:7
1	 1:.067226891	 2:.307692308	 3:0	 4:.435183532	 5:.307692308	 6:.993592814	 7:.424454365	 8:.757575758	 9:7
1	 1:.008196721	 2:.038461538	 3:0	 4:.559907407	 5:.307692308	 6:.993592814	 7:.559907407	 8:0	 9:7
1	 1:1	 2:.115384615	 3:0	 4:.60880787	 5:.307692308	 6:.993592814	 7:.554413029	 8:1	 9:7
1	 1:.055555556	 2:.038461538	 3:0	 4:.658450728	 5:.307692308	 6:.993592814	 7:.658450728	 8:0	 9:7
1	 1:.076923077	 2:.038461538	 3:0	 4:.615486111	 5:.307692308	 6:.993592814	 7:.615486111	 8:0	 9:7
1	 1:.04	 2:.038461538	 3:0	 4:.636008598	 5:.307692308	 6:.993592814	 7:.636008598	 8:0	 9:7
1	 1:.009803922	 2:.055555556	 3:0	 4:.996805556	 5:0	 6:0	 7:.996805556	 8:0	 9:1
1	 1:.034482759	 2:.083333333	 3:0	 4:.000335648	 5:0	 6:0	 7:.000335648	 8:0	 9:1
1	 1:.25	 2:.083333333	 3:0	 4:.000462963	 5:0	 6:0	 7:.000462963	 8:0	 9:1
1	 1:.014925373	 2:.037037037	 3:0	 4:.137633929	 5:.333333333	 6:.993528095	 7:.137633929	 8:0	 9:7
1	 1:.073170732	 2:.111111111	 3:0	 4:.264477513	 5:.333333333	 6:.993528095	 7:.264469246	 8:1	 9:7
1	 1:.043478261	 2:.037037037	 3:0	 4:.905257937	 5:.333333333	 6:.993528095	 7:.905257937	 8:0	 9:7
1	 1:.1	 2:.037037037	 3:0	 4:.311369048	 5:.333333333	 6:.993528095	 7:.311369048	 8:0	 9:7
1	 1:.125	 2:.142857143	 3:0	 4:.490601852	 5:0	 6:0	 7:.490601852	 8:.5	 9:7
1	 1:.222222222	 2:.214285714	 3:0	 4:.964861111	 5:.357142857	 6:.993528095	 7:.964803241	 8:1	 9:1
1	 1:.045454545	 2:.035714286	 3:0	 4:.978726852	 5:.357142857	 6:.993528095	 7:.978726852	 8:0	 9:1
1	 1:0	 2:.052631579	 3:0	 4:.983546627	 5:.052631579	 6:0	 7:.983546627	 8:0	 9:7
1	 1:.151515152	 2:.3125	 3:0	 4:.877666997	 5:0	 6:0	 7:.778978175	 8:.866666667	 9:7
2	 1:.176470588	 2:.1875	 3:.5	 4:.298953373	 5:0	 6:0	 7:.298931878	 8:1	 9:7
2	 1:.235294118	 2:.25	 3:1	 4:.375639881	 5:0	 6:0	 7:.375611773	 8:1	 9:7
1	 1:.111111111	 2:.090909091	 3:0	 4:.0000049603	 5:0	 6:0	 7:.0000049603	 8:0	 9:7
1	 1:.022222222	 2:.090909091	 3:0	 4:.0000016534	 5:0	 6:0	 7:.0000016534	 8:0	 9:7
1	 1:.052631579	 2:.0625	 3:0	 4:.387566138	 5:0	 6:0	 7:.387566138	 8:0	 9:7
2	 1:1	 2:.222222222	 3:1	 4:.762243717	 5:.333333333	 6:.993528095	 7:.762215609	 8:1	 9:7
2	 1:.036231884	 2:.263157895	 3:1	 4:.805120701	 5:.052631579	 6:0	 7:.805115741	 8:.865671642	 9:7
1	 1:.020833333	 2:.083333333	 3:0	 4:.102337963	 5:0	 6:0	 7:.102337963	 8:0	 9:1
1	 1:.041666667	 2:.166666667	 3:0	 4:.045393519	 5:0	 6:0	 7:.045277778	 8:1	 9:1
1	 1:.125	 2:.166666667	 3:0	 4:.000162037	 5:0	 6:0	 7:.000162037	 8:.5	 9:1
1	 1:.003021148	 2:.166666667	 3:0	 4:.000636574	 5:0	 6:0	 7:.000636574	 8:.848214286	 9:1
1	 1:1	 2:.333333333	 3:0	 4:.048912037	 5:0	 6:0	 7:.045787037	 8:1	 9:1
1	 1:.038461538	 2:.166666667	 3:0	 4:.145208333	 5:0	 6:0	 7:.145208333	 8:.769230769	 9:1
1	 1:.028571429	 2:.166666667	 3:0	 4:.362303241	 5:0	 6:0	 7:.362303241	 8:.888888889	 9:1
1	 1:.069767442	 2:.272727273	 3:0	 4:.106208333	 5:0	 6:0	 7:.025736111	 8:.866666667	 9:5
1	 1:.035714286	 2:.090909091	 3:0	 4:.058918982	 5:0	 6:0	 7:.058918982	 8:0	 9:5
1	 1:.130434783	 2:.065217391	 3:0	 4:.982577712	 5:.608695652	 6:.999935281	 7:.97942791	 8:0	 9:7
1	 1:.003021148	 2:.0625	 3:0	 4:.0000046296	 5:0	 6:0	 7:.0000046296	 8:0	 9:5
1	 1:.2	 2:.02173913	 3:0	 4:.000138889	 5:.608695652	 6:.993592814	 7:.000138889	 8:0	 9:1
1	 1:.5	 2:.043478261	 3:0	 4:.040706019	 5:.608695652	 6:.993592814	 7:.0000462963	 8:0	 9:1
1	 1:.2	 2:.02173913	 3:0	 4:.004236111	 5:.608695652	 6:.993592814	 7:.004236111	 8:0	 9:1
1	 1:.025	 2:.02173913	 3:0	 4:.0190625	 5:.608695652	 6:.993592814	 7:.0190625	 8:0	 9:1
1	 1:.066666667	 2:.166666667	 3:0	 4:.608043982	 5:0	 6:.993592814	 7:.608043982	 8:.6	 9:1
1	 1:.105263158	 2:.333333333	 3:0	 4:.471851852	 5:0	 6:.993592814	 7:.471851852	 8:.75	 9:1
2	 1:.333333333	 2:.130434783	 3:.5	 4:.738738426	 5:.608695652	 6:.993592814	 7:.734050926	 8:1	 9:1
1	 1:.023529412	 2:.181818182	 3:0	 4:.022121362	 5:0	 6:0	 7:.000335648	 8:.935483871	 9:7
1	 1:.055555556	 2:.090909091	 3:0	 4:.0000099206	 5:0	 6:0	 7:.0000099206	 8:0	 9:7
1	 1:.25	 2:.272727273	 3:0	 4:.692432209	 5:0	 6:0	 7:.000415013	 8:1	 9:7
1	 1:.023255814	 2:.1	 3:0	 4:.000185185	 5:0	 6:0	 7:.000185185	 8:.866666667	 9:1
1	 1:.25	 2:.1	 3:0	 4:.0000925926	 5:0	 6:0	 7:.0000925926	 8:1	 9:1
1	 1:.008264463	 2:.1	 3:0	 4:.004872685	 5:0	 6:0	 7:.004872685	 8:.818181818	 9:1
1	 1:.135135135	 2:.161290323	 3:0	 4:.98806713	 5:.419354839	 6:.993592814	 7:.964072421	 8:.777777778	 9:7
1	 1:.1	 2:.032258065	 3:0	 4:.964737103	 5:.419354839	 6:.993592814	 7:.964737103	 8:0	 9:7
1	 1:.5	 2:.181818182	 3:0	 4:.001031746	 5:0	 6:0	 7:.001021825	 8:1	 9:7
1	 1:.003021148	 2:.090909091	 3:0	 4:.004193122	 5:0	 6:0	 7:.004193122	 8:0	 9:7
2	 1:.12987013	 2:.217391304	 3:.5	 4:.779699074	 5:.608695652	 6:.993592814	 7:.733391204	 8:.923076923	 9:1
1	 1:.010416667	 2:.02173913	 3:0	 4:.947986111	 5:.608695652	 6:.993592814	 7:.947986111	 8:0	 9:1
2	 1:.024169184	 2:.173913043	 3:.5	 4:.986157407	 5:.608695652	 6:.993592814	 7:.485115741	 8:.848214286	 9:1
2	 1:.454545455	 2:.357142857	 3:1	 4:.460441149	 5:0	 6:0	 7:.406625086	 8:1	 9:3
1	 1:.166666667	 2:.045454545	 3:0	 4:.445814043	 5:.181818182	 6:0	 7:.445814043	 8:0	 9:3
1	 1:.1875	 2:.136363636	 3:.5	 4:.287326389	 5:.181818182	 6:0	 7:.254891975	 8:.666666667	 9:3
1	 1:.014084507	 2:.045454545	 3:0	 4:.578152006	 5:.181818182	 6:0	 7:.578152006	 8:0	 9:3
1	 1:.006042296	 2:.090909091	 3:0	 4:.860270062	 5:.181818182	 6:0	 7:.860270062	 8:0	 9:3
2	 1:.875	 2:.225806452	 3:.5	 4:.878199405	 5:.419354839	 6:.993592814	 7:.876177249	 8:.5	 9:7
1	 1:.05	 2:.032258065	 3:0	 4:.014446098	 5:.419354839	 6:.993592814	 7:.014446098	 8:0	 9:7
1	 1:.018867925	 2:.142857143	 3:0	 4:.760841601	 5:0	 6:0	 7:.760841601	 8:.857142857	 9:7
1	 1:.115384615	 2:.096774194	 3:0	 4:.555400132	 5:.419354839	 6:.993592814	 7:.551724537	 8:0	 9:7
2	 1:.357142857	 2:.161290323	 3:.5	 4:.858510251	 5:.419354839	 6:.993592814	 7:.858454034	 8:.8	 9:7
1	 1:.142857143	 2:.071428571	 3:0	 4:.485208634	 5:0	 6:0	 7:.485208635	 8:0	 9:3
1	 1:.2	 2:.071428571	 3:0	 4:.703838843	 5:0	 6:0	 7:.703838843	 8:0	 9:3
1	 1:1	 2:.214285714	 3:0	 4:.7009874	 5:0	 6:0	 7:.700975617	 8:1	 9:3
1	 1:.010416667	 2:.166666667	 3:0	 4:.783090278	 5:0	 6:.993592814	 7:.783090278	 8:1	 9:1
1	 1:.076923077	 2:.333333333	 3:0	 4:.984143519	 5:0	 6:.993592814	 7:.983981482	 8:.769230769	 9:1
1	 1:.1	 2:.153846154	 3:0	 4:.730949074	 5:0	 6:0	 7:.730949074	 8:.833333333	 9:1
1	 1:.076923077	 2:.1	 3:0	 4:.004166667	 5:0	 6:0	 7:.004166667	 8:.833333333	 9:5
1	 1:.03	 2:.3	 3:0	 4:.001722222	 5:0	 6:0	 7:.001696759	 8:.666666667	 9:5
1	 1:.04	 2:.4	 3:0	 4:.140648148	 5:0	 6:0	 7:.140648148	 8:.666666667	 9:1
1	 1:.2	 2:.1	 3:0	 4:.012581019	 5:0	 6:0	 7:.012581019	 8:1	 9:1
1	 1:.041666667	 2:.0625	 3:0	 4:.001511574	 5:0	 6:0	 7:.001511574	 8:0	 9:5
1	 1:.115384615	 2:.1875	 3:0	 4:.002784722	 5:0	 6:0	 7:.000456019	 8:.916666667	 9:5
1	 1:.066666667	 2:.0625	 3:0	 4:.145134259	 5:0	 6:0	 7:.145134259	 8:0	 9:5
1	 1:.142857143	 2:.0625	 3:0	 4:.006273148	 5:0	 6:0	 7:.006273148	 8:0	 9:5
1	 1:.051724138	 2:.1875	 3:0	 4:.73575	 5:0	 6:0	 7:.735706019	 8:1	 9:5
1	 1:.142857143	 2:.0625	 3:0	 4:.0864375	 5:0	 6:0	 7:.0864375	 8:0	 9:5
1	 1:.25	 2:.0625	 3:0	 4:.215131944	 5:0	 6:0	 7:.215131944	 8:0	 9:5
1	 1:.024390244	 2:.0625	 3:0	 4:.570488426	 5:0	 6:0	 7:.570488426	 8:0	 9:5
1	 1:.1875	 2:.096774194	 3:0	 4:.597728175	 5:.419354839	 6:.993592814	 7:.0994709	 8:0	 9:7
1	 1:.02247191	 2:.064516129	 3:0	 4:.577850529	 5:.419354839	 6:.993592814	 7:.577843915	 8:0	 9:7
1	 1:.025974026	 2:.064516129	 3:0	 4:.272053571	 5:.419354839	 6:.993592814	 7:.272005622	 8:0	 9:7
1	 1:.03125	 2:.032258065	 3:0	 4:.350580357	 5:.419354839	 6:.993592814	 7:.350580357	 8:0	 9:7
1	 1:.066666667	 2:.032258065	 3:0	 4:.58139881	 5:.419354839	 6:.993592814	 7:.58139881	 8:0	 9:7
1	 1:.5	 2:.06	 3:0	 4:.954284722	 5:.64	 6:.993592814	 7:.954240741	 8:0	 9:5
1	 1:.2	 2:.090909091	 3:0	 4:.002113095	 5:0	 6:0	 7:.002113095	 8:0	 9:7
1	 1:.107142857	 2:.272727273	 3:0	 4:.005765542	 5:0	 6:0	 7:.005724206	 8:.875	 9:7
1	 1:.5	 2:.181818182	 3:0	 4:.00858631	 5:0	 6:0	 7:.005380291	 8:1	 9:7
1	 1:.111111111	 2:.2	 3:0	 4:.002712191	 5:0	 6:0	 7:.002712191	 8:1	 9:3
1	 1:.074074074	 2:.4	 3:0	 4:.08005787	 5:0	 6:0	 7:.000165895	 8:.8	 9:3
1	 1:.029411765	 2:.2	 3:0	 4:.210065586	 5:0	 6:0	 7:.210065586	 8:.923076923	 9:3
1	 1:.008695652	 2:.076923077	 3:0	 4:.97902392	 5:0	 6:.993592814	 7:.97902392	 8:0	 9:3
1	 1:.1	 2:.125	 3:0	 4:.995930886	 5:0	 6:0	 7:.995930886	 8:1	 9:7
1	 1:.2	 2:.076923077	 3:0	 4:.283561508	 5:0	 6:0	 7:.283561508	 8:0	 9:7
1	 1:.043478261	 2:.076923077	 3:0	 4:.487362765	 5:0	 6:0	 7:.487362765	 8:0	 9:7
1	 1:.012987013	 2:.076923077	 3:0	 4:.586916336	 5:0	 6:0	 7:.586916336	 8:0	 9:7
